id,text,source,word_count,dialect
SASAK_SENT_000001,"Niki silsilah Deside Isa Almasih, keturunan Daud, keturunan Ibrahim.",alkitab_sasak_Mat_1_1,9,general
SASAK_SENT_000002,"Ibrahim, Ishak, Yakub, Yehuda dait sanak-sanakne, Peres dait Zerah (inaq ie pade aranne Tamar), Hezron, Ram, Aminadab, Nahason, Salmon, Boas (aran inaqne Rahab), Obed (aran inaqne Rut), Isai, dait Raje Daud.",alkitab_sasak_Mat_1_2,31,general
SASAK_SENT_000003,"Leman Daud jangke dateng jaman bangse Israel teteteh ojok Babel tecatet aran-aran dengan niki: Sulaiman (mamiq binine onos sebiniqan Uria), Rehabeam, Abia, Asa, Yosapat, Yoram, Uzia, Yotam, Ahas, Hizkia, Manasye, Amon, Yosia, Yekonya dait sanak-sanakne.",alkitab_sasak_Mat_1_6,35,general
SASAK_SENT_000004,"Leman jaman bangse Israel teteteh ojok Babel jangke Deside Isa tebijeang tecatet aran-aran dengan niki: Yekonya, Sealtiel, Zerubabel, Abihud, Elyakim, Azur, Zadok, Akim, Eliud, Eleazar, Matan, Yakub, Yusup semamene Mariam.",alkitab_sasak_Mat_1_12,30,general
SASAK_SENT_000005,Dait Mariam nike saq bijeang Deside Isa saq tesebut Almasih.,alkitab_sasak_Mat_1_12,10,general
SASAK_SENT_000006,"Jari, leman Ibrahim jangke Daud, selapuqne araq empat olas keturunan, dait leman Daud jangke jaman bangse Israel teteteh ojok Babel, araq empat olas keturunan endah, dait leman jaman bangse Israel teteteh ojok Babel jangke Almasih tebijeang araq empat olas keturunan.",alkitab_sasak_Mat_1_17,40,general
SASAK_SENT_000007,"Maraq niki riwayat kelahiran Deside Isa Almasih: Sewaktu Mariam, mamiq bini Deside Isa masih betunangan kance Yusup, ternyate Mariam sampun betian siq kuase Roh Suci sendeqman ie pade merariq.",alkitab_sasak_Mat_1_18,29,general
SASAK_SENT_000008,"Sengaq Yusup tunangan Mariam nike, dengan saq tulus angenne dait ndeq mele miaq Mariam ilaq leq julu dengan luweq, ie beniat putus betunangan kance Mariam secare tedoq-tedoq.",alkitab_sasak_Mat_1_19,27,general
SASAK_SENT_000009,"Sewaktu Yusup masih mikirang hal nike, Yusup ngimpi.",alkitab_sasak_Mat_1_20,8,general
SASAK_SENT_000010,"Dalem impine nike, Yusup serioq sopoq malaekat Tuhan saq bemanik tipaq ie, ""Yusup, keturunan Daud, ndaq takut bait Mariam jari seninende; sengaq kanak saq tepetianang siq Mariam nike asalne leman Roh Suci.",alkitab_sasak_Mat_1_20,32,general
SASAK_SENT_000011,"Mariam gen bijeang kanak mame, terus kanak nike harus side aranin Isa, sengaq Ie saq gen nyelametang umat-Ne leman dose-dose ie pade.""",alkitab_sasak_Mat_1_21,22,general
SASAK_SENT_000012,"Selapuqne nike telaksane adeqne genep napi saq temanikang siq Tuhan langan nabi-Ne,",alkitab_sasak_Mat_1_22,12,general
SASAK_SENT_000013,"""Setetune, sopoq dedare genten gen betian dait bijeang sopoq kanak mame.",alkitab_sasak_Mat_1_23,11,general
SASAK_SENT_000014,"Kanak nike gen tearanin Imanuel."" (Imanuel nike base Ibrani saq artine, ""Allah araq bareng ite"".)",alkitab_sasak_Mat_1_23,15,general
SASAK_SENT_000015,"Sesampun Yusup ures, ie ngelaksaneang napi saq temanikang siq malaekat Tuhan nike tipaq ie.",alkitab_sasak_Mat_1_24,14,general
SASAK_SENT_000016,Ie nikah kance Mariam.,alkitab_sasak_Mat_1_24,4,general
SASAK_SENT_000017,Laguq ndeq bareng mesare kance Mariam jangke Mariam bijeang Kanak nike.,alkitab_sasak_Mat_1_25,11,general
SASAK_SENT_000018,"Dait sesampun Kanak nike tebijeang, Yusup aranin Ie Isa.",alkitab_sasak_Mat_1_25,9,general
SASAK_SENT_000019,"Sesampun Deside Isa tebijeang leq kote Betlehem leq negeri Yudea, leq jaman Raje Herodes, dateng dengan-dengan ahli ilmu bintang leman Timuq ojok Yerusalem.",alkitab_sasak_Mat_2_1,23,general
SASAK_SENT_000020,"Ie pade beketuan leq embe-embe, ""Leq mbe Ie, Almasih, raje dengan Yahudi saq baruq tebijeang nike?",alkitab_sasak_Mat_2_2,16,general
SASAK_SENT_000021,"Tiang pade serioq bintang-Ne tiwoq leq sedi timuq, dait tiang pade dateng jari nyembah Ie.""",alkitab_sasak_Mat_2_2,15,general
SASAK_SENT_000022,"Sewaktu Raje Herodes pirengang berite nike, ie tinjot gati, maraq nike endah selapuq dengan leq Yerusalem.",alkitab_sasak_Mat_2_3,16,general
